"Site","Month","spp","count"
1,"January","Caccobius_bawangensis",0
1,"January","Catharsius_dayacus",5
1,"January","Catharsius_renaudpauliani",8
2,"January","Caccobius_bawangensis",1
2,"January","Catharsius_dayacus",6
2,"January","Catharsius_renaudpauliani",8
3,"January","Caccobius_bawangensis",1
3,"January","Catharsius_dayacus",2
3,"January","Catharsius_renaudpauliani",2
4,"February","Caccobius_bawangensis",1
4,"February","Catharsius_dayacus",0
4,"February","Catharsius_renaudpauliani",4
5,"February","Caccobius_bawangensis",1
5,"February","Catharsius_dayacus",0
5,"February","Catharsius_renaudpauliani",2
